top_player_x,top_player_y,bottom_player_x,bottom_player_y,ball_x,ball_y,ball_speed,bounce_x,bounce_y
96,131,81,323,88,97,4.8,,
96,133,82,323,88,94,2.04,,
96,133,83,323,88,88,4.07,,
95,133,84,322,88,82,4.07,,
96,133,86,322,88,76,4.07,,
96,132,87,322,89,74,1.51,,
98,132,88,323,88,71,2.14,,
98,131,90,321,,,,,
97,131,91,319,,,,,
99,127,94,320,92,91,,,
100,132,98,319,,,,,
100,137,98,320,99,161,,,
100,137,100,319,103,200,26.62,,
101,137,103,321,,,,,
100,138,107,322,112,254,,,
99,137,107,322,114,260,4.28,114,260
99,137,108,321,115,264,2.8,,
99,140,110,322,117,271,4.93,,
98,141,111,318,,,,,
98,142,112,318,83,292,,,
97,149,113,320,83,292,0.0,,
96,151,115,323,83,292,0.0,,
97,152,115,324,,,,,
97,152,116,324,120,194,,,
97,150,116,324,121,180,9.53,,
97,149,116,324,120,166,9.53,,
98,143,116,323,,,,,
98,143,117,322,118,88,,,
98,144,116,323,117,73,10.21,,
98,143,116,324,116,61,8.18,,
95,140,116,324,114,28,22.45,,
94,140,116,325,113,17,7.5,,
94,142,114,326,111,-3,13.65,,
94,143,113,326,110,-8,3.46,,
92,143,114,326,110,-17,6.11,,
92,143,113,325,108,-22,3.64,,
92,143,112,326,107,-25,2.14,,
92,143,111,326,106,-33,5.47,,
92,142,110,327,104,-37,3.02,,
92,137,110,326,102,-40,2.43,,
92,136,109,326,101,-40,0.66,,
91,134,109,325,99,-43,2.43,,
91,131,107,325,96,-44,2.1,,
90,124,105,326,95,-33,7.5,,
89,115,102,327,,,,,
85,122,98,327,,,,,
86,123,97,327,76,223,,,
85,124,97,327,75,221,1.51,,
84,124,95,325,73,221,1.32,,
84,123,93,324,71,221,1.32,,
84,124,91,325,70,222,0.95,,
84,123,90,324,69,223,0.95,,
84,122,89,325,68,225,1.51,,
84,118,87,326,65,231,4.53,,
84,118,87,326,65,231,0.0,,
84,118,81,325,61,243,8.57,,
84,119,78,327,58,260,11.71,,
84,119,78,326,58,259,0.68,,
84,119,74,327,56,273,9.6,,
83,118,73,326,55,281,5.47,,
83,118,73,326,54,279,1.51,,
83,119,72,329,53,257,14.96,,
83,119,72,328,,,,,
84,117,8,216,-47,-42,,,
84,118,9,216,,,,,
83,117,68,334,52,194,,,
83,117,65,334,52,164,20.37,,
83,116,63,334,51,145,12.92,,
83,115,60,334,50,109,24.46,,
83,117,59,334,50,92,11.55,,
83,114,58,334,,,,,
83,116,57,334,83,291,,,
83,117,55,335,83,292,0.68,,
82,116,10,219,,,,,
80,114,54,335,52,-67,,,
80,114,9,217,53,-75,5.47,,
80,113,53,336,52,-90,10.21,,
80,113,53,335,54,-90,1.32,,
79,117,53,335,55,-99,6.15,,
79,116,8,215,54,-100,0.95,,
79,119,54,336,,,,,
78,119,55,336,-133,-165,,,
78,119,55,334,,,,,
77,120,55,335,61,-94,,,
77,120,56,335,62,-101,4.8,,
78,121,56,335,65,-88,9.05,,
78,121,57,335,66,-79,6.15,,
78,121,56,335,67,-71,5.47,,
78,114,57,335,69,-52,12.97,,
78,112,9,215,70,-41,7.5,,
78,110,9,214,,,,,
77,113,58,336,-45,-38,,,
77,111,58,336,,,,,
76,111,58,336,84,202,,,
75,113,59,336,85,199,2.14,,
75,117,59,335,86,196,2.14,,
75,116,60,335,87,194,1.51,,
74,117,61,335,88,192,1.51,,
75,115,61,336,89,191,0.95,,
77,116,63,335,92,190,2.1,,
78,117,64,336,93,191,0.95,,
78,118,66,336,95,193,1.9,,
79,119,66,336,96,196,2.14,,
78,119,67,335,97,199,2.14,,
79,118,68,335,99,204,3.64,,
80,119,70,335,101,213,6.25,,
80,114,72,335,103,226,8.93,,
81,117,75,335,106,240,9.71,,
81,118,,,107,255,10.21,,
81,118,,,108,263,5.47,,
82,120,80,335,109,280,11.56,,
84,120,,,,,,,
84,122,83,335,111,316,,,
84,120,83,335,111,325,6.11,,
84,117,84,335,112,333,5.47,112,333
87,122,89,335,115,332,2.1,,
88,123,89,335,115,326,4.07,,
88,121,90,335,115,323,2.04,,
88,123,90,335,115,320,2.04,,
89,123,91,335,116,319,0.95,,
90,122,92,336,116,316,2.04,,
90,125,93,335,116,314,1.36,,
90,124,5,188,116,314,0.0,,
91,125,6,191,115,311,2.14,,
92,125,,,115,312,0.68,,
92,125,,,115,312,0.0,,
92,125,97,335,114,312,0.66,,
92,126,98,334,114,313,0.68,,
92,127,99,334,114,313,0.0,,
93,128,99,335,114,314,0.68,114,314
92,128,99,335,114,310,2.72,,
94,128,,,,,,,
94,128,,,118,287,,,
94,127,,,119,284,2.14,,
94,128,,,119,281,2.04,,
95,128,,,120,277,2.8,,
95,129,12,182,120,275,1.36,,
95,131,,,120,274,0.68,,
95,131,104,335,120,272,1.36,,
95,131,104,334,,,,,
95,131,104,335,,,,,
95,132,105,335,-104,-116,,,
95,132,,,,,,,
